name,count
head,12
hsx.cgi,12
ifx,12
javascript.php,12
jmx,12
kopf,12
kvm.cgi,12
listUserInfo,12
logon.htm,12
main.js,12
maintain_feedback.asp,12
marvel,12
master-status,12
mc-admin,12
mostrarelatorio.php,12
mrtg.cgi,12
net.html,12
nodes,12
not_exist,12
oozie,12
org.apache.dubbo.samples.http.api.DemoService,12
org.vulhub.api.CalcService,12
pageRelatedTxDetailPost,12
perl,12
phpadmin,12
phpinfo.php,12
pom.xml,12
properties,12
queryIndustrialClassLvl2ByDictId,12
queryMsgFromPython,12
queryTradeTypeStc,12
resolv.conf,12
rest.jsp,12
result.php,12
robots.txt,12
routes,12
save_restore.xml,12
selectVersionByReportId,12
shopper.cgi,12
showmap,12
sign_in,12
smb.conf,12
snoop.jsp,12
snoop1.jsp,12
soapConfig.xml,12
solr,12
support,12
swc,12
synchronizeUserToBISystem,12
threaddump.jsp,12
timeConfig.php,12
timeConfig2.php,12
ttawebtop.cgi,12
upload,12
upload.php,12
use_finger.php,12
user,12
users,12
vBulletin,12
vb,12
vb5,12
video_file.php,12
viewfile,12
viewpage.action,12
vtiger,12
vtigercrm,12
web.xml,12
webapp,12
webpagetest,12
websvn,12
wp-admin,12
www,12
xampp,12
xmlpserver,12
zml.cgi,12
Admin.po,11
Count.cgi,11
Entries,11
SiteScope,11
Tables,11
checkDetailDownloadFailedData,11
client,11
com5.pl,11
files,11
foo,11
icons,11
nosuchfile-10303-10310.php3,11
otrs,11
phpMyAdmin,11
pma,11
queryRptDirectDetailSubmitTask,11
threaddump1.jsp,11
usage,11
webalizer,11
.editorconfig,10
.gitattributes,10
.htaccess,10
1.htm,10
11.gif,10
123,10
3.gif,10
AppsLocalLogin.jsp,10
Branding_Login_WeblogicConsole.gif,10
Branding_WeblogicConsole.gif,10
CHANGELOG,10
CONTRIBUTING.md,10
COPYRIGHT.txt,10
Default.jsp,10
HelloWorld.action,10
INSTALL,10
INSTALL.mysql.txt,10
INSTALL.pgsql.txt,10
INSTALL.sqlite.txt,10
INSTALL.txt,10
Jcrop.gif,10
KindEditor.js,10
LICENSE.txt,10
Login,10
Login.htm,10
Login.jsp,10
Login.srf,10
Login.xhtml,10
Loginarea_Background.png,10
LogonCustomization,10
MAINTAINERS,10
MAINTAINERS.txt,10
MUP,10
PSCOErrPage.htm,10
Page,10
UPGRADE.txt,10
Version,10
Vineta.ttf,10
WPMS,10
WebLogin.js,10
WordPress-logo.png,10
